"Individual ID","Freezer","Location","Box","Column","Row"
"12907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","7","G"
"13334","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","G"
"13334","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","9","G"
"13946","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","10","G"
"13948","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","H"
"1281","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"2018","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11921","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","F"
"11833","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","4","A"
"11974","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","6","A"
"14917","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","5","A"
"14945","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","1","A"
"14962","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","3","A"
"14976","JM2 -80C","Shelf 1, Rack 4, Drawer 1","1","2","A"
"C2806","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"NP12/078","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","D"
"NP14/157","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","D"
"NP15/050","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"NP17/123","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"NP18/054","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"RI91/1357","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11B134","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","A"
"11B36","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","A"
"11B46","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","A"
"11B96","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","A"
"11B97","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","A"
"12B104","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","A"
"AT-15-934","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","A"
"AT-16-544","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","A"
"AT-16-544","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","D"
"AT-16-572","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","A"
"AT-16-162","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"AT-16-291","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11844","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","A"
"11874","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11893","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11928","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","B"
"11937","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"11938","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","B"
"11952","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12393","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12482","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"12490","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","B"
"13103","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13316","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","B"
"13357","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","B"
"13359","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","C"
"13360","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","B"
"13415","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13416","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","B"
"13423","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","B"
"13426","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13454","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13512","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13513","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13526","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","B"
"13738","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13781","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","B"
"13885","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","C"
"13886","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","d"
"13907","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","C"
"13908","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"13910","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","C"
"13927","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"14159","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","C"
"14160","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","C"
"14160","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","D"
"14205","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","D"
"14211","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","C"
"14252","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
"14253","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","C"
"14284","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","D"
"14285","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","D"
"12018","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","",""
