"Brainbank ID","Location Freezer","Location","Box","Column","Row","Region",""
"C2806","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"NP12/078","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","D","Cortex",""
"NP14/157","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","D","Cortex",""
"NP15/050","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"NP17/123","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"NP18/054","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"RI91/1357","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Cortex",""
"11B134","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","A","LT Frontal pole, LT Ammon's Horn, LT Occipital lobe, RT Frontal lobe, RT Ammon's Horn, RT Occipital lobe",""
"11B36","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","A","Pons/Medulla, Cerebellum, Cerebellar Vermis, Cerebellum Dentate, RT Thalamus, RT Frontal lobe, RT Occiptal lobe, RT Prox A.Horn/Thalamus, RT Distal A.Horn/Thalamus",""
"11B46","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","4","A","Pons/Medulla, Cerebellum/Vermis, RT Cerebrum Thalamus Region, RT Frontal lobe, RT Occiptal lobe",""
"11B96","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","5","A","RT Frontal pole, RT Ammon's Horn, RT Occipital lobe, LT Frontal lobe, LT Ammon's Horn",""
"11B97","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","6","A","RT Frontal pole, LT Frontal lobe, LT Ammon's Horn",""
"12B104","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","7","A","LT Frontal lobe, LT-Parietal lobe, LT Occipital lobe",""
"AT-15-934","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","8","A","Frontal lobe A (lateral ventricles with genu of corpus callosum; Frontal lobe B (head of caudate nucleus to lentiform nucleus/ventral lateral thalamus/anterior amygdala",""
"AT-16-544","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","9","A","Frontal lobe",""
"AT-16-544","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","3","D","Frontal lobe",""
"AT-16-572","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","A","Frontal lobe A (lateral ventricles with genu of corpus callosum)",""
"AT-16-162","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Frontal lobe A (lateral ventricles with genu of corpus callosum)",""
"AT-16-291","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Frontal lobe",""
"11844","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","10","A","Forebrain",""
"11874","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"11893","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"11928","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","1","B","Forebrain",""
"11937","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
"11938","JM2 -80C","Shelf 1, Rack 4, Drawer 1","2","2","B","Forebrain",""
"11952","JM2 -80C","Shelf 1, Rack 4, Drawer 1","","","","Forebrain",""
